"Region","P-Code","Sector","Activity Type","Organisation","Activity","Start Date","End Date"
"kankan","GIN004001","Surveillance & suivi","Investigation et Epidemiologie","CDC","Vehicule pour les investigations des cas",,"en cours"
"Kerouane","GIN004002","Surveillance & suivi","Investigation et Epidemiologie","OMS","Vehicule pour les investigations des cas",,"en cours"
"Kerouane","GIN004002","Surveillance & suivi","Investigation et Epidemiologie","CDC","Vehicule pour les investigations des cas",,"en cours"
"Kindia","GIN005004","Surveillance & suivi","Investigation et Epidemiologie","OMS","Vehicule pour les investigations des cas",,"en cours"
"Kindia","GIN005004","Surveillance & suivi","Investigation et Epidemiologie","CDC","Vehicule pour les investigations des cas",,"en cours"
"Kissidougou","GIN003004","Surveillance & suivi","Investigation et Epidemiologie","OMS","Vehicule pour les investigations des cas",,"en cours"
"Kissidougou","GIN003004","Surveillance & suivi","Investigation et Epidemiologie","CDC","Vehicule pour les investigations des cas",,"en cours"
"Koubia","GIN006001","Surveillance & suivi","Investigation et Epidemiologie","OMS","Vehicule pour les investigations des cas",,"en cours"
"Koubia","GIN006001","Surveillance & suivi","Investigation et Epidemiologie","CDC","Vehicule pour les investigations des cas",,"en cours"
"Kouroussa","GIN004003","Surveillance & suivi","Investigation et Epidemiologie","OMS","Vehicule pour les investigations des cas",,"en cours"
"Kouroussa","GIN004003","Surveillance & suivi","Investigation et Epidemiologie","CDC","Vehicule pour les investigations des cas",,"en cours"
"Labe","GIN006002","Surveillance & suivi","Investigation et Epidemiologie","OMS","Vehicule pour les investigations des cas",,"en cours"
"Labe","GIN006002","Surveillance & suivi","Investigation et Epidemiologie","CDC","Vehicule pour les investigations des cas",,"en cours"
"Lola","GIN008002","Surveillance & suivi","Investigation et Epidemiologie","OMS","Vehicule pour les investigations des cas",,"en cours"
"Lola","GIN008002","Surveillance & suivi","Investigation et Epidemiologie","CDC","Vehicule pour les investigations des cas",,"en cours"
"Macenta","GIN008003","Surveillance & suivi","Investigation et Epidemiologie","OMS","Vehicule pour les investigations des cas",,"en cours"
"Macenta","GIN008003","Surveillance & suivi","Investigation et Epidemiologie","CDC","Vehicule pour les investigations des cas",,"en cours"
"Mali","GIN006004","Surveillance & suivi","Investigation et Epidemiologie","OMS","Vehicule pour les investigations des cas",,"en cours"
"Mali","GIN006004","Surveillance & suivi","Investigation et Epidemiologie","CDC","Vehicule pour les investigations des cas",,"en cours"
"Mamou","GIN007002","Surveillance & suivi","Investigation et Epidemiologie","OMS","Vehicule pour les investigations des cas",,"en cours"
"Mamou","GIN007002","Surveillance & suivi","Investigation et Epidemiologie","CDC","Vehicule pour les investigations des cas",,"en cours"
"Mandiana","GIN004004","Surveillance & suivi","Investigation et Epidemiologie","OMS","Vehicule pour les investigations des cas",,"en cours"
"Mandiana","GIN004004","Surveillance & suivi","Investigation et Epidemiologie","CDC","Vehicule pour les investigations des cas",,"en cours"
"Nzérékoré","GIN008004","Surveillance & suivi","Investigation et Epidemiologie","OMS","Vehicule pour les investigations des cas",,"en cours"
"Nzérékoré","GIN008004","Surveillance & suivi","Investigation et Epidemiologie","CDC","Vehicule pour les investigations des cas",,"en cours"
"Pita","GIN007003","Surveillance & suivi","Investigation et Epidemiologie","OMS","Vehicule pour les investigations des cas",,"en cours"
"Pita","GIN007003","Surveillance & suivi","Investigation et Epidemiologie","CDC","Vehicule pour les investigations des cas",,"en cours"
"Siguiri","GIN004005","Surveillance & suivi","Investigation et Epidemiologie","OMS","Vehicule pour les investigations des cas",,"en cours"
"Siguiri","GIN004005","Surveillance & suivi","Investigation et Epidemiologie","CDC","Vehicule pour les investigations des cas",,"en cours"
"Telemele","GIN005005","Surveillance & suivi","Investigation et Epidemiologie","OMS","Vehicule pour les investigations des cas",,"en cours"
"Telemele","GIN005005","Surveillance & suivi","Investigation et Epidemiologie","CDC","Vehicule pour les investigations des cas",,"en cours"
"Yomou","GIN008005","Surveillance & suivi","Investigation et Epidemiologie","OMS","Vehicule pour les investigations des cas",,"en cours"
"Yomou","GIN008005","Surveillance & suivi","Investigation et Epidemiologie","CDC","Vehicule pour les investigations des cas",,"en cours"
"Beyla","GIN008001","Surveillance & suivi","Investigation et Epidemiologie","OMS","Carburant ",,"en cours"
"Beyla","GIN008001","Surveillance & suivi","Investigation et Epidemiologie","CDC","Carburant ",,"en cours"
"Boffa","GIN001001","Surveillance & suivi","Investigation et Epidemiologie","OMS","Carburant ",,"en cours"
"Boffa","GIN001001","Surveillance & suivi","Investigation et Epidemiologie","CDC","Carburant ",,"en cours"
"Boké","GIN001002","Surveillance & suivi","Investigation et Epidemiologie","OMS","Carburant ",,"en cours"
"Boké","GIN001002","Surveillance & suivi","Investigation et Epidemiologie","CDC","Carburant ",,"en cours"
"Conakry","GIN002001","Surveillance & suivi","Investigation et Epidemiologie","OMS","Carburant ",,"en cours"
"Conakry","GIN002001","Surveillance & suivi","Investigation et Epidemiologie","CDC","Carburant ",,"en cours"
"Conakry","GIN002001","Surveillance & suivi","Investigation et Epidemiologie","ACF","Carburant ",,"ACF: 3Déc (1 véhicule MCM Matoto Déc & Janv + 1 véhicule MCM Ratoma Déc)"
"Coyah","GIN005001","Surveillance & suivi","Investigation et Epidemiologie","OMS","Carburant ",,"en cours"
"Coyah","GIN005001","Surveillance & suivi","Investigation et Epidemiologie","CDC","Carburant ",,"en cours"
"Dabola","GIN003001","Surveillance & suivi","Investigation et Epidemiologie","OMS","Carburant ",,"en cours"
"Dabola","GIN003001","Surveillance & suivi","Investigation et Epidemiologie","CDC","Carburant ",,"en cours"
"Dalaba","GIN007001","Surveillance & suivi","Investigation et Epidemiologie","OMS","Carburant ",,"en cours"
"Dalaba","GIN007001","Surveillance & suivi","Investigation et Epidemiologie","CDC","Carburant ",,"en cours"
"Dinguiraye","GIN003002","Surveillance & suivi","Investigation et Epidemiologie","OMS","Carburant ",,"en cours"
"Dinguiraye","GIN003002","Surveillance & suivi","Investigation et Epidemiologie","CDC","Carburant ",,"en cours"
"Dubreka","GIN005002","Surveillance & suivi","Investigation et Epidemiologie","OMS","Carburant ",,"en cours"
"Dubreka","GIN005002","Surveillance & suivi","Investigation et Epidemiologie","CDC","Carburant ",,"en cours"
"Faranah","GIN003003","Surveillance & suivi","Investigation et Epidemiologie","OMS","Carburant ",,"en cours"
"Faranah","GIN003003","Surveillance & suivi","Investigation et Epidemiologie","CDC","Carburant ",,"en cours"
"Forecariah","GIN005003","Surveillance & suivi","Investigation et Epidemiologie","OMS","Carburant ",,"en cours"
"Forecariah","GIN005003","Surveillance & suivi","Investigation et Epidemiologie","CDC","Carburant ",,"en cours"
"Guéckédou","GIN008006","Surveillance & suivi","Investigation et Epidemiologie","OMS","Carburant ",,"en cours"
"Guéckédou","GIN008006","Surveillance & suivi","Investigation et Epidemiologie","CDC","Carburant ",,"en cours"
"kankan","GIN004001","Surveillance & suivi","Investigation et Epidemiologie","OMS","Carburant ",,"en cours"
"kankan","GIN004001","Surveillance & suivi","Investigation et Epidemiologie","CDC","Carburant ",,"en cours"
"Kerouane","GIN004002","Surveillance & suivi","Investigation et Epidemiologie","OMS","Carburant ",,"en cours"
"Kerouane","GIN004002","Surveillance & suivi","Investigation et Epidemiologie","CDC","Carburant ",,"en cours"
"Kindia","GIN005004","Surveillance & suivi","Investigation et Epidemiologie","OMS","Carburant ",,"en cours"
"Kindia","GIN005004","Surveillance & suivi","Investigation et Epidemiologie","CDC","Carburant ",,"en cours"
"Kissidougou","GIN003004","Surveillance & suivi","Investigation et Epidemiologie","OMS","Carburant ",,"en cours"
"Kissidougou","GIN003004","Surveillance & suivi","Investigation et Epidemiologie","CDC","Carburant ",,"en cours"
"Koubia","GIN006001","Surveillance & suivi","Investigation et Epidemiologie","OMS","Carburant ",,"en cours"
"Koubia","GIN006001","Surveillance & suivi","Investigation et Epidemiologie","CDC","Carburant ",,"en cours"
"Kouroussa","GIN004003","Surveillance & suivi","Investigation et Epidemiologie","OMS","Carburant ",,"en cours"
"Kouroussa","GIN004003","Surveillance & suivi","Investigation et Epidemiologie","CDC","Carburant ",,"en cours"
"Labe","GIN006002","Surveillance & suivi","Investigation et Epidemiologie","OMS","Carburant ",,"en cours"
"Labe","GIN006002","Surveillance & suivi","Investigation et Epidemiologie","CDC","Carburant ",,"en cours"
"Lola","GIN008002","Surveillance & suivi","Investigation et Epidemiologie","OMS","Carburant ",,"en cours"
"Lola","GIN008002","Surveillance & suivi","Investigation et Epidemiologie","CDC","Carburant ",,"en cours"
"Macenta","GIN008003","Surveillance & suivi","Investigation et Epidemiologie","OMS","Carburant ",,"en cours"
"Macenta","GIN008003","Surveillance & suivi","Investigation et Epidemiologie","CDC","Carburant ",,"en cours"
"Mali","GIN006004","Surveillance & suivi","Investigation et Epidemiologie","OMS","Carburant ",,"en cours"
"Mali","GIN006004","Surveillance & suivi","Investigation et Epidemiologie","CDC","Carburant ",,"en cours"
"Mamou","GIN007002","Surveillance & suivi","Investigation et Epidemiologie","OMS","Carburant ",,"en cours"
"Mamou","GIN007002","Surveillance & suivi","Investigation et Epidemiologie","CDC","Carburant ",,"en cours"
"Mandiana","GIN004004","Surveillance & suivi","Investigation et Epidemiologie","OMS","Carburant ",,"en cours"
"Mandiana","GIN004004","Surveillance & suivi","Investigation et Epidemiologie","CDC","Carburant ",,"en cours"
"Nzérékoré","GIN008004","Surveillance & suivi","Investigation et Epidemiologie","OMS","Carburant ",,"en cours"
"Nzérékoré","GIN008004","Surveillance & suivi","Investigation et Epidemiologie","CDC","Carburant ",,"en cours"
"Pita","GIN007003","Surveillance & suivi","Investigation et Epidemiologie","OMS","Carburant ",,"en cours"
"Pita","GIN007003","Surveillance & suivi","Investigation et Epidemiologie","CDC","Carburant ",,"en cours"
"Siguiri","GIN004005","Surveillance & suivi","Investigation et Epidemiologie","OMS","Carburant ",,"en cours"
"Siguiri","GIN004005","Surveillance & suivi","Investigation et Epidemiologie","CDC","Carburant ",,"en cours"
"Telemele","GIN005005","Surveillance & suivi","Investigation et Epidemiologie","OMS","Carburant ",,"en cours"
"Telemele","GIN005005","Surveillance & suivi","Investigation et Epidemiologie","CDC","Carburant ",,"en cours"
"Yomou","GIN008005","Surveillance & suivi","Investigation et Epidemiologie","OMS","Carburant ",,"en cours"
"Yomou","GIN008005","Surveillance & suivi","Investigation et Epidemiologie","CDC","Carburant ",,"en cours"
"Boké","GIN001002","Surveillance & suivi"," Surveillance transfrontalière","OMS","Postes frontaliers",,"en cours"
"Boké","GIN001002","Surveillance & suivi"," Surveillance transfrontalière","CDC","Postes frontaliers",,"en cours"
"Conakry","GIN002001","Surveillance & suivi"," Surveillance transfrontalière","OMS","Postes frontaliers",,"en cours"
"Conakry","GIN002001","Surveillance & suivi"," Surveillance transfrontalière","CDC","Postes frontaliers",,"en cours"
"Forecariah","GIN005003","Surveillance & suivi"," Surveillance transfrontalière","ACF","Postes frontaliers",12/22/2014,
"Forecariah","GIN005003","Surveillance & suivi"," Surveillance transfrontalière","OMS","Postes frontaliers",,
"Forecariah","GIN005003","Surveillance & suivi"," Surveillance transfrontalière","CDC","Postes frontaliers",,
"Forecariah","GIN005003","Surveillance & suivi"," Surveillance transfrontalière","PLAN","Postes frontaliers",,
"Guéckédou","GIN008006","Surveillance & suivi"," Surveillance transfrontalière","OMS","Postes frontaliers",,"en cours"
"Guéckédou","GIN008006","Surveillance & suivi"," Surveillance transfrontalière","CDC","Postes frontaliers",,"en cours"
"Guéckédou","GIN008006","Surveillance & suivi"," Surveillance transfrontalière","PLAN","Postes frontaliers",,"en cours"
"Boké","GIN001002","Surveillance & suivi"," Surveillance transfrontalière","OMS","Formation pour agents",,"en cours"
"Boké","GIN001002","Surveillance & suivi"," Surveillance transfrontalière","CDC","Formation pour agents",,"en cours"
"Conakry","GIN002001","Surveillance & suivi"," Surveillance transfrontalière","OMS","Formation pour agents",,"en cours"
"Conakry","GIN002001","Surveillance & suivi"," Surveillance transfrontalière","CDC","Formation pour agents",,"en cours"
"Forecariah","GIN005003","Surveillance & suivi"," Surveillance transfrontalière","ACF","Formation pour agents",,"en cours"
"Forecariah","GIN005003","Surveillance & suivi"," Surveillance transfrontalière","OMS","Formation pour agents",,"en cours"
"Forecariah","GIN005003","Surveillance & suivi"," Surveillance transfrontalière","CDC","Formation pour agents",,"en cours"
"Forecariah","GIN005003","Surveillance & suivi"," Surveillance transfrontalière","PLAN","Formation pour agents",,"en cours"
"Guéckédou","GIN008006","Surveillance & suivi"," Surveillance transfrontalière","OMS","Formation pour agents",,"en cours"
"Guéckédou","GIN008006","Surveillance & suivi"," Surveillance transfrontalière","CDC","Formation pour agents",,"en cours"
"Guéckédou","GIN008006","Surveillance & suivi"," Surveillance transfrontalière","PLAN","Formation pour agents",,"en cours"
"Boké","GIN001002","Surveillance & suivi"," Surveillance transfrontalière","OMS","Equipement des postes frontièrs ",,"en cours"
"Boké","GIN001002","Surveillance & suivi"," Surveillance transfrontalière","CDC","Equipement des postes frontièrs ",,"en cours"
"Conakry","GIN002001","Surveillance & suivi"," Surveillance transfrontalière","OMS","Equipement des postes frontièrs ",,"en cours"
"Conakry","GIN002001","Surveillance & suivi"," Surveillance transfrontalière","CDC","Equipement des postes frontièrs ",,"en cours"
"Forecariah","GIN005003","Surveillance & suivi"," Surveillance transfrontalière","ACF","Equipement des postes frontièrs ",,"en cours"
"Forecariah","GIN005003","Surveillance & suivi"," Surveillance transfrontalière","OMS","Equipement des postes frontièrs ",,"en cours"
"Forecariah","GIN005003","Surveillance & suivi"," Surveillance transfrontalière","CDC","Equipement des postes frontièrs ",,"en cours"
"Forecariah","GIN005003","Surveillance & suivi"," Surveillance transfrontalière","PLAN","Equipement des postes frontièrs ",,
"Guéckédou","GIN008006","Surveillance & suivi"," Surveillance transfrontalière","OMS","Equipement des postes frontièrs ",,
"Guéckédou","GIN008006","Surveillance & suivi"," Surveillance transfrontalière","CDC","Equipement des postes frontièrs ",,
"Guéckédou","GIN008006","Surveillance & suivi"," Surveillance transfrontalière","PLAN","Equipement des postes frontièrs ",,
"Boké","GIN001002","Surveillance & suivi"," Surveillance transfrontalière","OMS","Equipement des postes frontièrs ",,
"Boké","GIN001002","Surveillance & suivi"," Surveillance transfrontalière","CDC","Equipement des postes frontièrs ",,
"Conakry","GIN002001","Surveillance & suivi"," Surveillance transfrontalière","OMS","Equipement des postes frontièrs ",,
"Conakry","GIN002001","Surveillance & suivi"," Surveillance transfrontalière","CDC","Equipement des postes frontièrs ",,
"Forecariah","GIN005003","Surveillance & suivi"," Surveillance transfrontalière","ACF","Equipement des postes frontièrs ",,
"Forecariah","GIN005003","Surveillance & suivi"," Surveillance transfrontalière","OMS","Equipement des postes frontièrs ",,
"Forecariah","GIN005003","Surveillance & suivi"," Surveillance transfrontalière","CDC","Equipement des postes frontièrs ",,
"Forecariah","GIN005003","Surveillance & suivi"," Surveillance transfrontalière","PLAN","Equipement des postes frontièrs ",,
"Guéckédou","GIN008006","Surveillance & suivi"," Surveillance transfrontalière","OMS","Equipement des postes frontièrs ",,
"Guéckédou","GIN008006","Surveillance & suivi"," Surveillance transfrontalière","CDC","Equipement des postes frontièrs ",,
"Guéckédou","GIN008006","Surveillance & suivi"," Surveillance transfrontalière","PLAN","Equipement des postes frontièrs ",,
"National",,"Surveillance & suivi","Gestion des données","OMS","Resp.pref. de la gestion des données ",,"en cours"
"National",,"Surveillance & suivi","Gestion des données","CDC","Resp.pref. de la gestion des données ",,"en cours"
"Beyla","GIN008001","Surveillance & suivi","Gestion des données","OMS","Resp.pref. de la gestion des données ",,"en cours"
"Beyla","GIN008001","Surveillance & suivi","Gestion des données","CDC","Resp.pref. de la gestion des données ",,"en cours"
"Conakry","GIN002001","Surveillance & suivi","Gestion des données","OMS","Resp.pref. de la gestion des données ",,"en cours"
"Conakry","GIN002001","Surveillance & suivi","Gestion des données","CDC","Resp.pref. de la gestion des données ",,"en cours"
"Coyah","GIN005001","Surveillance & suivi","Gestion des données","OMS","Resp.pref. de la gestion des données ",,"en cours"
"Coyah","GIN005001","Surveillance & suivi","Gestion des données","CDC","Resp.pref. de la gestion des données ",,"en cours"
"Coyah","GIN005001","Surveillance & suivi","Gestion des données","PLAN","Resp.pref. de la gestion des données ",,"en cours"
"Forecariah","GIN005003","Surveillance & suivi","Gestion des données","OMS","Resp.pref. de la gestion des données ",,"en cours"
"Forecariah","GIN005003","Surveillance & suivi","Gestion des données","CDC","Resp.pref. de la gestion des données ",,"en cours"
"Forecariah","GIN005003","Surveillance & suivi","Gestion des données","PLAN","Resp.pref. de la gestion des données ",,"en cours"
"Guéckédou","GIN008006","Surveillance & suivi","Gestion des données","OMS","Resp.pref. de la gestion des données ",,"en cours"
"Guéckédou","GIN008006","Surveillance & suivi","Gestion des données","CDC","Resp.pref. de la gestion des données ",,"en cours"
"Guéckédou","GIN008006","Surveillance & suivi","Gestion des données","PLAN","Resp.pref. de la gestion des données ",,"en cours"
"Kerouane","GIN004002","Surveillance & suivi","Gestion des données","OMS","Resp.pref. de la gestion des données ",,"en cours"
"Kerouane","GIN004002","Surveillance & suivi","Gestion des données","CDC","Resp.pref. de la gestion des données ",,"en cours"
"Macenta","GIN008003","Surveillance & suivi","Gestion des données","OMS","Resp.pref. de la gestion des données ",,"en cours"
"Macenta","GIN008003","Surveillance & suivi","Gestion des données","UNFPA","Resp.pref. de la gestion des données ",,"en cours"
"Macenta","GIN008003","Surveillance & suivi","Gestion des données","CDC","Resp.pref. de la gestion des données ",,"en cours"
"Macenta","GIN008003","Surveillance & suivi","Gestion des données","PLAN","Resp.pref. de la gestion des données ",,"en cours"
"Nzérékoré","GIN008004","Surveillance & suivi","Gestion des données","OMS","Resp.pref. de la gestion des données ",,"en cours"
"Nzérékoré","GIN008004","Surveillance & suivi","Gestion des données","CDC","Resp.pref. de la gestion des données ",,"en cours"
"Nzérékoré","GIN008004","Surveillance & suivi","Gestion des données","PLAN","Resp.pref. de la gestion des données ",,"en cours"
"Siguiri","GIN004005","Surveillance & suivi","Gestion des données","OMS","Resp.pref. de la gestion des données ",,"en cours"
"Siguiri","GIN004005","Surveillance & suivi","Gestion des données","CDC","Resp.pref. de la gestion des données ",,"en cours"
"National",,"Surveillance & suivi"," Suivi/ Evaluation/Supervision/Rapportage","OMS","Suivi et Evaluation ",,"en cours"
"National",,"Prise en charge","Prevention et controle des infections","CDC","Formation et manuel de procédures ",,"en cours"
"National",,"Prise en charge","Prevention et controle des infections","OMS","Formation et manuel de procédure ",,"en cours"
"Beyla","GIN008001","Prise en charge","Prevention et controle des infections","OMS","Formation et manuel de procédure ",,"en cours"
"Beyla","GIN008001","Prise en charge","Prevention et controle des infections","CDC","Formation et manuel de procédure ",,"en cours"
"Beyla","GIN008001","Prise en charge","Prevention et controle des infections","USAID/JHPIEGO (PI aux hopitaux et CS)","Formation et manuel de procédure ",,"en cours"
"Boffa","GIN001001","Prise en charge","Prevention et controle des infections","OMS","Formation et manuel de procédure ",,"en cours"
"Boffa","GIN001001","Prise en charge","Prevention et controle des infections","CDC","Formation et manuel de procédure ",,"en cours"
"Boké","GIN001002","Prise en charge","Prevention et controle des infections","OMS","Formation et manuel de procédure ",,"en cours"
"Boké","GIN001002","Prise en charge","Prevention et controle des infections","CDC","Formation et manuel de procédure ",,"en cours"
"Conakry","GIN002001","Prise en charge","Prevention et controle des infections","OMS","Formation et manuel de procédure ",,"en cours"
"Conakry","GIN002001","Prise en charge","Prevention et controle des infections","CDC","Formation et manuel de procédure ",,"en cours"
"Conakry","GIN002001","Prise en charge","Prevention et controle des infections","USAID/JHPIEGO (PI aux hopitaux et CS)","Formation et manuel de procédure ",,"en cours"
"Coyah","GIN005001","Prise en charge","Prevention et controle des infections","OMS","Formation et manuel de procédure ",,"en cours"
"Coyah","GIN005001","Prise en charge","Prevention et controle des infections","CDC","Formation et manuel de procédure ",,"en cours"
"Dabola","GIN003001","Prise en charge","Prevention et controle des infections","OMS","Formation et manuel de procédure ",,"en cours"
"Dabola","GIN003001","Prise en charge","Prevention et controle des infections","CDC","Formation et manuel de procédure ",,"en cours"
"Dalaba","GIN007001","Prise en charge","Prevention et controle des infections","OMS","Formation et manuel de procédure ",,"en cours"
"Dalaba","GIN007001","Prise en charge","Prevention et controle des infections","CDC","Formation et manuel de procédure ",,"en cours"
"Dubreka","GIN005002","Prise en charge","Prevention et controle des infections","OMS","Formation et manuel de procédure ",,"en cours"
"Dubreka","GIN005002","Prise en charge","Prevention et controle des infections","CDC","Formation et manuel de procédure ",,"en cours"
"Faranah","GIN003003","Prise en charge","Prevention et controle des infections","OMS","Formation et manuel de procédure ",,"en cours"
"Faranah","GIN003003","Prise en charge","Prevention et controle des infections","CDC","Formation et manuel de procédure ",,"en cours"
"Forecariah","GIN005003","Prise en charge","Prevention et controle des infections","OMS","Formation et manuel de procédure ",,"en cours"
"Forecariah","GIN005003","Prise en charge","Prevention et controle des infections","CDC","Formation et manuel de procédure ",,"en cours"
"Forecariah","GIN005003","Prise en charge","Prevention et controle des infections","USAID/JHPIEGO (PI aux hopitaux et CS)","Formation et manuel de procédure ",,"en cours"
"Guéckédou","GIN008006","Prise en charge","Prevention et controle des infections","OMS","Formation et manuel de procédure ",,"en cours"
"Guéckédou","GIN008006","Prise en charge","Prevention et controle des infections","CDC","Formation et manuel de procédure ",,"en cours"
"kankan","GIN004001","Prise en charge","Prevention et controle des infections","OMS","Formation et manuel de procédure ",,"en cours"
"kankan","GIN004001","Prise en charge","Prevention et controle des infections","CDC","Formation et manuel de procédure ",,"en cours"
"Kerouane","GIN004002","Prise en charge","Prevention et controle des infections","OMS","Formation pour agents",,"en cours"
"Kerouane","GIN004002","Prise en charge","Prevention et controle des infections","CDC","Formation pour agents",,"en cours"
"Kindia","GIN005004","Prise en charge","Prevention et controle des infections","OMS","Formation pour agents",,"en cours"
"Kindia","GIN005004","Prise en charge","Prevention et controle des infections","CDC","Formation pour agents",,"en cours"
"Kissidougou","GIN003004","Prise en charge","Prevention et controle des infections","OMS","Formation pour agents",,"en cours"
"Kissidougou","GIN003004","Prise en charge","Prevention et controle des infections","CDC","Formation pour agents",,"en cours"
"Koubia","GIN006001","Prise en charge","Prevention et controle des infections","OMS","Formation pour agents",,"en cours"
"Koubia","GIN006001","Prise en charge","Prevention et controle des infections","CDC","Formation pour agents",,"en cours"
"Kouroussa","GIN004003","Prise en charge","Prevention et controle des infections","OMS","Formation pour agents",,"en cours"
"Kouroussa","GIN004003","Prise en charge","Prevention et controle des infections","CDC","Formation pour agents",,"en cours"
"Labe","GIN006002","Prise en charge","Prevention et controle des infections","OMS","Formation pour agents",,"en cours"
"Labe","GIN006002","Prise en charge","Prevention et controle des infections","CDC","Formation pour agents",,"en cours"
"Lola","GIN008002","Prise en charge","Prevention et controle des infections","OMS","Formation pour agents",,"en cours"
"Lola","GIN008002","Prise en charge","Prevention et controle des infections","CDC","Formation pour agents",,"en cours"
"Macenta","GIN008003","Prise en charge","Prevention et controle des infections","OMS","Formation pour agents",,"en cours"
"Macenta","GIN008003","Prise en charge","Prevention et controle des infections","CDC","Formation pour agents",,"en cours"
"Mali","GIN006004","Prise en charge","Prevention et controle des infections","OMS","Formation pour agents",,"en cours"
"Mali","GIN006004","Prise en charge","Prevention et controle des infections","CDC","Formation pour agents",,"en cours"
"Mamou","GIN007002","Prise en charge","Prevention et controle des infections","OMS","Formation pour agents",,"en cours"
"Mamou","GIN007002","Prise en charge","Prevention et controle des infections","CDC","Formation pour agents",,"en cours"
"Mandiana","GIN004004","Prise en charge","Prevention et controle des infections","OMS","Formation pour agents",,"en cours"
"Mandiana","GIN004004","Prise en charge","Prevention et controle des infections","CDC","Formation pour agents",,"en cours"
"Nzérékoré","GIN008004","Prise en charge","Prevention et controle des infections","OMS","Formation pour agents",,"en cours"
"Nzérékoré","GIN008004","Prise en charge","Prevention et controle des infections","CDC","Formation pour agents",,"en cours"
"Pita","GIN007003","Prise en charge","Prevention et controle des infections","OMS","Formation pour agents",,"en cours"
"Pita","GIN007003","Prise en charge","Prevention et controle des infections","CDC","Formation pour agents",,"en cours"
"Siguiri","GIN004005","Prise en charge","Prevention et controle des infections","OMS","Formation pour agents",,"en cours"
"Siguiri","GIN004005","Prise en charge","Prevention et controle des infections","CDC","Formation pour agents",,"en cours"
"Telemele","GIN005005","Prise en charge","Prevention et controle des infections","OMS","Formation pour agents",,"en cours"
"Telemele","GIN005005","Prise en charge","Prevention et controle des infections","CDC","Formation pour agents",,"en cours"
"Yomou","GIN008005","Prise en charge","Prevention et controle des infections","OMS","Formation pour agents",,"en cours"
"Yomou","GIN008005","Prise en charge","Prevention et controle des infections","CDC","Formation pour agents",,"en cours"
"Conakry","GIN002001","Prise en charge","Systeme d'ambulance","MSF","Fourniture de véhicules",,"FAIT"
"Guéckédou","GIN008006","Prise en charge","Systeme d'ambulance","MSF","Fourniture de véhicules",,"FAIT"
"kankan","GIN004001","Prise en charge","Systeme d'ambulance","MSF","Fourniture de véhicules",,"FAIT"
"Conakry","GIN002001","Prise en charge","Systeme d'ambulance","MSF","Transport de patents",,"FAIT"
"Guéckédou","GIN008006","Prise en charge","Systeme d'ambulance","MSF","Transport de patents",,"FAIT"
"kankan","GIN004001","Prise en charge","Systeme d'ambulance","MSF","Transport de patents",,"FAIT"
"Conakry","GIN002001","Prise en charge","Systeme d'ambulance","MSF","Formation",,"FAIT"
"Guéckédou","GIN008006","Prise en charge","Systeme d'ambulance","MSF","Formation",,"FAIT"
"kankan","GIN004001","Prise en charge","Systeme d'ambulance","MSF","Formation",,
"Conakry","GIN002001","Prise en charge","Systeme d'ambulance","ECHO","Financement",,"FAIT"
"Conakry","GIN002001","Prise en charge","Systeme d'ambulance","privé","Financement",,"FAIT"
"Coyah","GIN005001","Prise en charge","Laboratoire PCR","RUSSIE","Financement",,"FAIT"
"Guéckédou","GIN008006","Prise en charge","Laboratoire PCR","EU","Financement",,"FAIT"
"kankan","GIN004001","Prise en charge","Laboratoire PCR","CELLULE","Financement",,12/31/2014
"Kerouane","GIN004002","Prise en charge","Laboratoire PCR","FEI/KPLAN","Financement",,12/31/2014
"Macenta","GIN008003","Prise en charge","Laboratoire PCR","France","Financement",,"FAIT"
"Nzérékoré","GIN008004","Prise en charge","Laboratoire PCR","EU","Financement",,12/20/2014
"Conakry","GIN002001","Prise en charge","Laboratoire PCR","PASTEUR","Construction",,"FAIT"
"Coyah","GIN005001","Prise en charge","Laboratoire PCR","RUSSIE","Construction",,
"Guéckédou","GIN008006","Prise en charge","Laboratoire PCR","EU LAB","Construction",,"FAIT"
"kankan","GIN004001","Prise en charge","Laboratoire PCR","CELLULE","Construction",,12/31/2014
"Kerouane","GIN004002","Prise en charge","Laboratoire PCR","FEI/KPLAN","Construction",,12/31/2014
"Macenta","GIN008003","Prise en charge","Laboratoire PCR","France","Construction",,"FAIT"
"Nzérékoré","GIN008004","Prise en charge","Laboratoire PCR","PAM","Construction",,12/20/2014
"Conakry","GIN002001","Prise en charge","Laboratoire PCR","PASTEUR","Recrutement",,"FAIT"
"Coyah","GIN005001","Prise en charge","Laboratoire PCR","RUSSIE","Recrutement",,
"Guéckédou","GIN008006","Prise en charge","Laboratoire PCR","EU LAB","Recrutement",,"FAIT"
"kankan","GIN004001","Prise en charge","Laboratoire PCR","CELLULE","Recrutement",,12/31/2014
"Kerouane","GIN004002","Prise en charge","Laboratoire PCR","FEI/KPLAN","Recrutement",,12/31/2014
"Macenta","GIN008003","Prise en charge","Laboratoire PCR","PASTEUR","Recrutement",,"FAIT"
"Nzérékoré","GIN008004","Prise en charge","Laboratoire PCR","Belgique","Recrutement",,12/20/2014
"Conakry","GIN002001","Prise en charge","Laboratoire PCR","PASTEUR","Formation",,"FAIT"
"Coyah","GIN005001","Prise en charge","Laboratoire PCR","RUSSIE","Formation",,
